,Time,Event,Part,Process,Machine
304,98.0,Started,Part1_5,Process3,M3
305,98.0,Started,Part0_5,Process1,M1
306,99.0,Part4 Created,Part4_4,Source4,
307,99.0,Finished,Part4_3,Process4,M4
308,99.0,Part4 Created,Part4_5,Source4,
309,99.0,Routing Start,Part4_4,Source4,
310,99.0,Routing Finished,Part4_4,Source4,
311,99.0,Part transferred from Source,Part4_4,Process4,
312,99.0,Routing Start,Part4_5,Source4,
313,99.0,Started,Part2_3,Process4,M4
314,99.0,Routing Finished,Part4_5,Source4,
315,99.0,Part transferred from Source,Part4_5,Process4,
316,99.0,Started,Part4_3,Process0,M0
